Latitude,Longitude
41.462931, 0.409726
41.864748, 0.460416
41.761631, 0.493805
41.364645, 0.502164
41.363164, 0.503556
41.601211, 0.577819
41.612702, 0.580305
40.702505, 0.583423
41.676979, 0.584814
41.736531, 0.586909
41.620005, 0.595215
41.620005, 0.595215
41.620005, 0.595215
41.620005, 0.595215
41.620005, 0.595215
41.620005, 0.595215
41.620005, 0.595215
41.620005, 0.595215
41.620005, 0.595215
41.692724, 0.597260
41.605474, 0.606219
40.750294, 0.622897
41.740915, 0.637383
41.646092, 0.651384
40.933137, 0.671777
41.691317, 0.728294
40.742276, 0.729069
41.202510, 0.739998
41.154156, 0.765538
42.223397, 0.848112
42.075130, 0.917576
41.133174, 0.944420
41.129014, 0.949122
41.127823, 0.961855
41.201102, 0.966978
41.200069, 0.967493
41.200069, 0.967493
41.200069, 0.967493
41.200069, 0.967493
41.200069, 0.967493
41.200069, 0.967493
41.633712, 0.995072
41.238900, 1.007093
41.238900, 1.007093
41.082333, 1.011287
41.211501, 1.035232
41.201485, 1.042563
41.200250, 1.046468
41.111801, 1.046752
41.135926, 1.058591
41.252041, 1.088877
41.085751, 1.091875
41.105883, 1.096276
41.181800, 1.096408
41.166356, 1.120364
41.142936, 1.127976
41.182670, 1.160820
41.379803, 1.161522
41.263506, 1.170533
41.211099, 1.205524
41.123892, 1.234635
41.287425, 1.249934
41.265695, 1.295917
41.251715, 1.297596
41.253196, 1.301051
41.135801, 1.362890
41.346313, 1.363808
42.073850, 1.401710
42.073730, 1.401721
41.341043, 1.402082
41.225757, 1.441983
41.244022, 1.504213
41.396562, 1.660652
41.475065, 1.923192
41.401856, 1.972770
41.438716, 2.006453
41.415459, 2.098551
41.411401, 2.102996
41.419538, 2.113324
41.473977, 2.124570
41.434801, 2.156876
41.460314, 2.169614
41.395428, 2.182614
41.640990, 2.199777
41.421403, 2.202070
41.649608, 2.362629
41.532207, 2.400818
41.860664, 2.461424
41.860664, 2.461424
41.646858, 2.513248
42.057624, 2.534398
41.767634, 2.637208
41.838714, 2.701096
41.694439, 2.716498
41.637315, 2.719157
41.903272, 2.726723
41.806214, 2.743225
41.806214, 2.743225
41.921304, 2.759229
41.874614, 2.785407
42.250326, 2.829494
42.126280, 3.130649
